source_concept_id,source_code,source_code_description_mod,source_code_description,source_counts,comments,target_concept_id,target_concept_code,target_concept_name,target_concept_class_id,target_standard_concept,target_invalid_reason,target_domain_id,target_vocabulary_id
,,,,,,,,,,,,,
45298463,00002727125,Cefuroxime 220 MGML Injectable Suspension [Kefurox],Cefuroxime 220 MG/ML Injectable Suspension [Kefurox],,,44096196,OMOP1090827,Cefuroxime Injectable Suspension [Kefurox],Branded Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45127389,00002762361,pemetrexed 25 MGML Injectable Solution [Alimta],pemetrexed 25 MG/ML Injectable Solution [Alimta],,,41209640,OMOP2407602,pemetrexed 25 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
44889267,00003044540,Diatrizoate Meglumine 660 MGML Sodium Diatrizoate 100 MGML Oral Solution [Gastrograffin],Diatrizoate Meglumine 660 MG/ML / Sodium Diatrizoate 100 MG/ML Oral Solution [Gastrograffin],,,17,,,,,,,
,,,,,,,,,,,,,
45178566,00004692106,Ketorolac Tromethamine 15 MGML Injectable Solution [Toradol],Ketorolac Tromethamine 15 MG/ML Injectable Solution [Toradol],,,46287319,1665002,Ketorolac Tromethamine 15 MG/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45178608,00006329305,Methyldopate 50 MGML Injectable Solution [Aldomet Ester],Methyldopate 50 MG/ML Injectable Solution [Aldomet Ester],,,44123140,OMOP1117771,Methyldopate 50 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45144505,00007506011,Chlorpromazine hydrochloride 25 MGML Injectable Solution [Thorazine],Chlorpromazine hydrochloride 25 MG/ML Injectable Solution [Thorazine],,,35605390,1730077,Chlorpromazine hydrochloride 25 MG/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45213044,00008026301,1 ML Epinephrine 1 MGML Prefilled Syringe,1 ML Epinephrine 1 MG/ML Prefilled Syringe,,,42480407,OMOP417152,1 ML Epinephrine 1 MG/ML Prefilled Syringe,Quant Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
44974362,00009338901,Methylprednisolone 125 MGML Injectable Solution [Solu-Medrol],Methylprednisolone 125 MG/ML Injectable Solution [Solu-Medrol],,,40060704,362772,Methylprednisolone Injectable Solution [Solu-Medrol],Branded Drug Form,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45127588,00013560693,Cyclophosphamide 20 MGML Injectable Solution [Neosar],Cyclophosphamide 20 MG/ML Injectable Solution [Neosar],,,36408146,OMOP3100188,Cyclophosphamide 20 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45195847,00015053941,Cyclophosphamide 20 MGML Injectable Solution [Cytoxan],Cyclophosphamide 20 MG/ML Injectable Solution [Cytoxan],,,36408146,OMOP3100188,Cyclophosphamide 20 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
